RBD,ASIG_TEL
2999,JHOPPE
11594,FCACERES
14801,KNUÑEZ
16677,JHOPPE
22561,FCACERES
9527,jgonzalez
9669,jgonzalez
11923,MMENDEZ
16556,JHOPPE
1583,KNUÑEZ
5466,FCACERES
6118,FCACERES
9507,jgonzalez
11835,MMENDEZ
11926,jgonzalez
13491,vjimenez
1620,KNUÑEZ
10631,vjimenez
13504,vjimenez
14820,KNUÑEZ
20137,FCACERES
22337,KPULGAR
10035,MMENDEZ
14782,FCACERES
22366,FCACERES
5955,FCACERES
6267,FCACERES
9182,KNUÑEZ
12823,JHOPPE
15744,KNUÑEZ
17838,jgonzalez
22516,KPULGAR
24756,KNUÑEZ
25865,vjimenez
4760,jgonzalez
6421,FCACERES
9788,JHOPPE
10359,MMENDEZ
11467,FCACERES
11952,KNUÑEZ
22495,KPULGAR
1918,KNUÑEZ
13608,vjimenez
22200,FCACERES
26518,MMENDEZ
13514,vjimenez
6252,FCACERES
9942,vjimenez
10315,vjimenez
11217,KNUÑEZ
12659,KPULGAR
2047,KNUÑEZ
3347,JHOPPE
4628,jgonzalez
6917,KPULGAR
25921,KPULGAR
4627,jgonzalez
9324,KNUÑEZ
11209,KNUÑEZ
19972,FCACERES
22588,KPULGAR
25094,MMENDEZ
26006,jgonzalez
5695,FCACERES
22065,FCACERES
24730,MMENDEZ
25577,KNUÑEZ
3292,JHOPPE
5269,FCACERES
11032,KPULGAR
13513,vjimenez
20037,FCACERES
25382,KNUÑEZ
17605,KPULGAR
20133,FCACERES
13627,vjimenez
14804,KNUÑEZ
22014,KPULGAR
22230,FCACERES
25390,MMENDEZ
2055,KNUÑEZ
3733,jgonzalez
9510,vjimenez
11709,jgonzalez
14395,FCACERES
26383,jgonzalez
40295,JHOPPE
2993,JHOPPE
4779,jgonzalez
5046,KPULGAR
6253,FCACERES
6826,KPULGAR
17860,jgonzalez
40110,FCACERES
2090,KNUÑEZ
9926,KPULGAR
12151,KNUÑEZ
40033,vjimenez
18220,jgonzalez
40298,vjimenez
12588,JHOPPE
14706,KNUÑEZ
25485,vjimenez
25697,KPULGAR
25901,KNUÑEZ
768,vjimenez
3297,JHOPPE
5714,FCACERES
6337,FCACERES
10173,MMENDEZ
11795,KNUÑEZ
13593,vjimenez
15643,KNUÑEZ
16512,JHOPPE
24864,KNUÑEZ
4656,jgonzalez
12368,FCACERES
13612,vjimenez
18034,KPULGAR
18090,KPULGAR
19965,FCACERES
26139,MMENDEZ
6834,KPULGAR
1164,FCACERES
6018,FCACERES
6460,FCACERES
10768,MMENDEZ
15793,KNUÑEZ
18147,jgonzalez
26341,vjimenez
31260,jgonzalez
9817,JHOPPE
10501,MMENDEZ
10595,vjimenez
10712,JHOPPE
12539,KPULGAR
15746,KNUÑEZ
17797,KPULGAR
9334,KNUÑEZ
10159,vjimenez
11348,JHOPPE
25288,MMENDEZ
2048,KNUÑEZ
2050,KNUÑEZ
5682,FCACERES
7405,FCACERES
14760,KNUÑEZ
20186,FCACERES
