AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;FONO_RBD;CELULAR_RBD;DIR_RBD;LATITUD;LONGITUD;CONVENIO_PIE;ENS_01;ENS_02;ENS_03;ENS_04;ENS_05;ENS_06;ENS_07;ENS_08;ENS_09;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL
2015;40057;2;JARDIN INFANTIL ARCOIRIS;4;41;4102;COQUIMBO;41;ELQUI;3;2;0;312226;4006080;PEDRO LAGOS 801. EL LLANO;-29,988585;-71,33779;0;10;0;0;0;0;0;0;0;0;1;1;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;25417;7;ESCUELA PARTICULAR 1788 EDEN DE SAN RAMON;13;131;13131;SAN RAMON;132;SANTIAGO SUR;3;2;0;5431953; ;QUINTIN ROMERO 2020;-33,547203;-70,63670;0;212;214;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;1395;1;COLEGIO SAN PEDRO NOLASCO DE QUILLOTA;5;55;5501;QUILLOTA;51;QUILLOTA;3;2;0;2310401;87685593;SERRANO 427;-32,872392;-71,24424;0;10;110;310;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;14882;2;ESC.ESPECIAL DE LENGUAJE OROLONCO;5;57;5705;PUTAENDO;52;LOS ANDES;3;2;0;2502201; ;EJERCITO LIBERTADOR;-32,631504;-70,71545;0;214;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;1199;1;LICEO DE HOMBRES AMERICA;5;53;5301;LOS ANDES;52;LOS ANDES;2;1;0;421090; ;AVDA. CHILE;-32,838963;-70,59932;1;110;299;510;0;0;0;0;0;0;1;1;1; ;$1.000 A $10.000;$1.000 A $10.000
2015;14411;8;ESCUELA DE PARVULOS ANNY SCHOOL;5;55;5502;CALERA;51;QUILLOTA;3;2;0;228375;81915133;PRESIDENTE PINTO 737;-32,792656;-71,21543;0;10;0;0;0;0;0;0;0;0;1;1;9; ;GRATUITO;GRATUITO
2015;18123;4;COLEGIO Y ESCUELA DE LENGUAJE CENTRO EDUCACIONAL PEUMAYEN;8;83;8303;CABRERO;82;BIOBIO;3;2;0;410937; ;BEETHOVEN  VILLA ALEMANA;-37,029987;-72,39559;0;10;110;214;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;14781;8;ESC.DE LENGUAJE PALABRAS MAGICAS;5;58;5801;QUILPUE;53;VALPARAISO;3;2;0;2981625;83996685;DIEGO DE ALMAGRO;-33,053350;-71,40425;0;214;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;1602;0;COLEGIO ESPERANZA;5;51;5101;VALPARAISO;53;VALPARAISO;3;2;0;2661176;74783010;BARROS ARANA 381;-33,032703;-71,58551;1;10;110;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;$10.001 A $25.000
2015;14559;9;ESCUELA ESPECIAL LOURDES;5;51;5107;QUINTERO;53;VALPARAISO;3;2;0;2934273;62273123;AVENIDA VICUNA MACKENNA;-32,777750;-71,53393;0;212;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;14657;9;COL EXPERIM.NINOS CANTORES DE VINA D;5;51;5109;VIÑA DEL MAR;53;VALPARAISO;4;3;0;2777210;92782209;SAN PABLO DE LA CRUZ;-33,029890;-71,56171;0;10;110;310;0;0;0;0;0;0;1;1;1; ;MÁS DE $100.000;MÁS DE $100.000
2015;1289;0;COLEGIO ASSUNTA PALLOTA;5;57;5701;SAN FELIPE;52;LOS ANDES;3;2;0;2531011; ;SAN FRANCISCO  CURIMON;-32,786728;-70,68825;0;310;510;610;710;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;25398;7;ESC. ESPECIAL 1775 SAN ANTONIO II;13;133;13302;LAMPA;137;SANTIAGO NORTE;3;2;0;8422557;094410301;CALLE ISABEL RIQUELME 804;-33,284187;-70,88761;0;212;214;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;9142;1;ESCUELA BASICA PARTICULAR LOS HUSARES;13;131;13118;MACUL;133;SANTIAGO ORIENTE;3;2;0;2830951;7991624;CASTILLO URIZAR SUR;-33,493010;-70,60948;0;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;2563;1;ESCUELA MUNICIPAL DE LA PATAGUA;6;63;6310;SANTA CRUZ;62;COLCHAGUA;2;1;1;7460341;97460341;LA PATAGUA S/N;-34,695784;-71,36627;1;10;110;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;9922;8;ESCUELA PARTICULAR HOLANDA;13;131;13106;ESTACION CENTRAL;134;SANTIAGO PONIENTE;3;2;0;27413181;93424999;LAS PARCELAS;-33,468010;-70,72248;0;10;110;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;$25.001 A $50.000
2015;22544;4;LICEO CIENTIFICO HUMANISTA BENJAMIN VICUÑA MACKENNA;10;101;10101;PUERTO MONTT;101;LLANQUIHUE;2;1;0;484573;99799837;VIA DEL MEDITERRANEO S/N;-41,472224;-72,98394;1;110;165;310;363;0;0;0;0;0;1;1;1; ;GRATUITO;$1.000 A $10.000
2015;16661;8;ESCUELA DE PARVULOS PRINCIPITO DE SANTA ANA;7;73;7307;SAGRADA FAMILIA;71;CURICO;3;2;0;978039;87693704;SITIO 1Y2 SANTA ANA;-35,042480;-71,45775;0;10;214;0;0;0;0;0;0;0;1;1;7;SE RESPETA TODO TIPO DE RELIGIÓN;GRATUITO;GRATUITO
2015;2893;2;ESCUELA CAONE;7;73;7302;HUALAÑE;71;CURICO;2;1;1;0;57328309;CAONE CALLE PRINCIPAL S/N;-34,956023;-71,58661;1;110;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;SIN INFORMACIÓN
2015;2856;8;ESCUELA EL RADAL;7;73;7304;MOLINA;71;CURICO;2;1;1;2558126;98833866;EL RADAL S/N;-35,465070;-70,99962;0;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;3451;7;ESCUELA SAN NICOLAS;7;74;7405;RETIRO;73;LINARES;2;1;1;421020;95737709;SAN NICOLAS;-36,062644;-71,82119;1;110;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;9164;2;LICEO POLITEC.PARTICULAR CARMEN ARRIARAN;13;131;13122;PEÑALOLEN;133;SANTIAGO ORIENTE;3;2;0;2862340;62489242;DEPARTAMENTAL;-33,509720;-70,58673;0;110;310;410;610;0;0;0;0;0;1;1;2; ;$1.000 A $10.000;$10.001 A $25.000
2015;11318;2;ESCUELA DIFERENCIAL SANTA ADRIANA;7;74;7404;PARRAL;73;LINARES;3;2;0;2462210; ;ARTURO PRAT N°  528;-36,142670;-71,82831;0;212;0;0;0;0;0;0;0;0;1;1;7;CRISTIANA;GRATUITO;GRATUITO
2015;16585;9;CENTRO EDUCACIONAL IRIS;7;71;7101;TALCA;72;TALCA;3;2;0;2685414;94196640;4 ORIENTE CON 12 1/2 NORTE, COOPERATIVA TELETAL;-35,409832;-71,65936;0;10;214;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;8188;4;ESCUELA RURAL LA CAPILLA;10;102;10210;QUINCHAO;102;CHILOE;1;1;1;661390; ;ISLA CAHUACH;-42,509479;-73,26237;1;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
