AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;CONVENIO_SEP;AÑO_INGRESO_SEP;CLASIFICACION_SEP;N_PRIO;N_BEN
2015;5524;7;ESC. BASICA EL LINGUE;9;92;9208;PUREN;91;MALLECO;2;1;1;1;2008;EMERGENTE;9;9
2015;5525;5;ESC. BASICA CAUPOLICAN;9;92;9208;PUREN;91;MALLECO;2;1;1;1;2008;EMERGENTE;51;51
2015;5529;8;ESCUELA PARTICULAR AGUA SANTA;9;92;9208;PUREN;91;MALLECO;3;2;1;0; ; ;11;0
2015;5532;8;ESCUELA PARTICULAR TRULAUQUEN;9;92;9208;PUREN;91;MALLECO;3;2;1;1;2009;EMERGENTE;24;24
2015;5533;6;ESCUELA PARTICULAR SAN BERNARDO;9;92;9208;PUREN;91;MALLECO;3;2;1;1;2009;EMERGENTE;9;9
2015;5535;2;ESCUELA PARTICULAR LOS DERRAMES;9;92;9208;PUREN;91;MALLECO;3;2;1;1;2012;EMERGENTE;11;11
2015;5536;0;ESCUELA PARTICULAR PICHIHUENOCOLLE;9;92;9208;PUREN;91;MALLECO;3;2;1;1;2009;EMERGENTE;12;12
2015;5537;9;ESCUELA PARTICULAR REMEHUEICO;9;92;9208;PUREN;91;MALLECO;3;2;1;1;2008;EMERGENTE;64;64
2015;5538;7;ESCUELA GUSTAVO VASQUEZ DIAZ;9;92;9206;LOS SAUCES;91;MALLECO;2;1;0;1;2008;EMERGENTE;202;202
2015;5539;5;ESCUELA DE LOS SAUCES;9;92;9206;LOS SAUCES;91;MALLECO;2;1;0;1;2008;AUTONOMO;161;161
2015;5541;7;ESC. BASICA ELENA MULLER M.;9;92;9206;LOS SAUCES;91;MALLECO;2;1;1;1;2008;EMERGENTE;31;31
2015;5542;5;ESC. BASICA LINO BARBIERI CANTERGIANI;9;92;9206;LOS SAUCES;91;MALLECO;2;1;1;1;2008;EMERGENTE;7;7
2015;5544;1;ESC. BASICA SAN RAMON ALTO;9;92;9206;LOS SAUCES;91;MALLECO;2;1;1;1;2014;EMERGENTE;7;7
2015;5546;8;ESC. BASICA OSCAR CASTRO;9;92;9206;LOS SAUCES;91;MALLECO;2;1;1;1;2014;EMERGENTE;3;3
2015;5548;4;ESC. BASICA PIVADENCO;9;92;9206;LOS SAUCES;91;MALLECO;2;1;1;1;2008;EMERGENTE;20;20
2015;5550;6;ESCUELA BASICA VILLA TRINTE;9;92;9206;LOS SAUCES;91;MALLECO;2;1;1;1;2008;EMERGENTE;30;30
2015;5551;4;ESC. BASICA GUIDO GRANDE;9;92;9206;LOS SAUCES;91;MALLECO;2;1;1;1;2008;EMERGENTE;7;7
2015;5552;2;ESC. BASICA NAPADIR;9;92;9206;LOS SAUCES;91;MALLECO;2;1;1;1;2008;EMERGENTE;5;5
2015;5553;0;ESC. BASICA EL MEMBRILLAR;9;92;9206;LOS SAUCES;91;MALLECO;2;1;1;1;2008;EMERGENTE;3;3
2015;5554;9;ESC. BASICA HUITRANLEBU;9;92;9206;LOS SAUCES;91;MALLECO;2;1;1;1;2008;EMERGENTE;6;6
